;;;;;;;;;;;;Variables WORLD CLIM;;;;;;;;;;;;;;;;;;
code;base;gbifID;year;dateIdentified;espece;country;lon;lat;posi;studied;altitude;bio_1;bio_2;bio_3;bio_4;bio_5;bio_6;bio_7;bio_8;bio_9;bio_10;bio_11;bio_12;bio_13;bio_14;bio_15;bio_16;bio_17;bio_18;bio_19
bdd3587;cl846;912539;2000;20001112;Convolvulus lanuginosus;Spain;-0,37904;39,61221;c;n;100;169;88;38;5084;288;62;226;181;234;237;108;447;80;12;45;185;56;86;104
gbif1531;1531;895205725;NA;NA;Convolvulus lanuginosus;Spain;-0,921;39,61;c;n;546;144;101;38;5797;287;27;260;153;220;222;74;429;59;15;32;149;72;83;88
bdd3228;cl522;898890;2008;20080203;Convolvulus lanuginosus;Spain;-0,64704;39,60894;c;n;138;167;93;38;5319;294;55;239;178;235;238;102;414;71;12;42;165;55;78;92
bdd3250;cl542;1123149;2011;20110406;Convolvulus lanuginosus;Spain;-0,6354;39,6087;c;n;186;164;93;38;5329;292;53;239;175;233;236;99;421;71;12;41;166;57;79;93
bdd3268;cl559;1110076;2011;20110406;Convolvulus lanuginosus;Spain;-0,62376;39,60847;c;n;215;162;93;38;5347;291;51;240;173;232;234;98;429;71;13;40;168;60;82;94
bdd3283;cl572;1110077;2011;20110406;Convolvulus lanuginosus;Spain;-0,61212;39,60823;c;n;138;166;92;38;5282;292;56;236;178;234;237;102;422;73;12;42;169;56;80;94
bdd3367;cl648;867029;2010;20100612;Convolvulus lanuginosus;Spain;-0,56557;39,60726;c;n;115;168;91;38;5254;292;58;234;180;236;238;104;427;75;12;44;173;56;81;96
bdd2952;cl274;481980;2003;20030609;Convolvulus lanuginosus;Spain;-0,9034;39,60484;c;n;617;140;101;38;5835;285;24;261;150;218;219;71;444;59;16;31;151;76;86;91
bdd3533;cl798;917967;2002;20020210;Convolvulus lanuginosus;Spain;-0,44919;39,60476;c;n;98;169;89;38;5145;290;61;229;182;234;238;107;439;79;12;45;181;55;83;101
bdd2962;cl283;481981;2003;20030609;Convolvulus lanuginosus;Spain;-0,89176;39,60463;c;n;410;151;99;38;5687;291;35;256;161;226;228;83;413;60;14;34;148;66;79;86
bdd2966;cl287;487832;2009;20090405;Convolvulus lanuginosus;Spain;-0,86848;39,60421;c;n;457;149;99;38;5686;289;33;256;159;224;225;80;422;61;14;34;151;68;81;88
bdd2971;cl291;487833;2009;20090405;Convolvulus lanuginosus;Spain;-0,85684;39,60399;c;n;203;163;97;38;5534;297;47;250;173;235;237;95;392;63;12;39;149;57;74;84
bdd3079;cl389;491171;2004;20041101;Convolvulus lanuginosus;Spain;-0,71717;39,60133;c;n;171;164;94;38;5389;294;52;242;175;234;236;99;407;68;12;41;160;56;77;89
gbif3561;3561;895256774;1984;NA;Convolvulus lanuginosus;Spain;-0,96;39,6;c;n;595;142;102;38;5859;287;23;264;151;219;220;72;432;58;16;31;147;74;83;88
gbif3361;3361;895152658;1986;NA;Convolvulus lanuginosus;Spain;-1,08;39,6;c;n;1032;118;106;38;6137;274;-2;276;133;200;200;45;505;60;22;27;159;98;98;101
bdd3226;cl520;722933;2002;20020604;Convolvulus lanuginosus;Spain;-0,64734;39,59994;c;n;113;168;93;39;5296;295;57;238;180;236;239;104;413;72;11;43;166;54;77;92
bdd3249;cl541;930646;2008;20080203;Convolvulus lanuginosus;Spain;-0,6357;39,5997;c;n;140;167;93;39;5294;294;56;238;178;235;238;102;418;72;12;43;167;56;79;92
bdd3267;cl558;930651;2008;20080203;Convolvulus lanuginosus;Spain;-0,62407;39,59946;c;n;155;166;93;39;5296;293;55;238;177;234;237;102;422;72;12;42;168;57;80;94
bdd3282;cl571;1124755;2011;20110406;Convolvulus lanuginosus;Spain;-0,61243;39,59922;c;n;145;166;92;38;5272;292;56;236;177;234;237;102;423;73;12;42;169;56;80;95
bdd3366;cl647;867024;2010;20100612;Convolvulus lanuginosus;Spain;-0,56588;39,59826;c;n;96;169;91;39;5211;293;60;233;181;236;239;106;424;75;11;44;172;54;79;96
gbif3910;3910;895200861;2007;NA;Convolvulus lanuginosus;Spain;-0,688;39,596;c;n;195;163;94;39;5387;293;52;241;175;233;236;98;417;69;12;40;162;58;78;92
bdd2970;cl290;464292;1996;19961125;Convolvulus lanuginosus;Spain;-0,85712;39,59499;c;n;277;159;98;39;5549;294;44;250;169;231;233;92;401;63;12;38;151;60;76;84
bdd2977;cl297;487834;2009;20090405;Convolvulus lanuginosus;Spain;-0,84548;39,59477;c;n;320;156;98;38;5612;293;41;252;167;229;231;88;408;63;13;36;151;62;77;86
bdd3078;cl388;491170;2002;20021204;Convolvulus lanuginosus;Spain;-0,71747;39,59233;c;n;150;166;94;39;5355;295;54;241;176;235;238;101;405;68;11;42;159;55;75;89
bdd2868;cl2338;1000648;NA;NA;Convolvulus lanuginosus;Spain;-1,84707;39,59101;c;n;890;125;119;39;6365;300;-4;304;108;210;211;49;461;56;16;28;151;75;81;103
bdd3224;cl519;953265;2008;20080203;Convolvulus lanuginosus;Spain;-0,64765;39,59093;c;n;116;168;93;39;5280;295;57;238;179;236;239;104;413;72;11;43;166;54;77;92
bdd3248;cl540;804717;2008;20080203;Convolvulus lanuginosus;Spain;-0,63601;39,5907;c;n;96;169;92;38;5259;294;58;236;180;237;239;105;411;72;11;43;166;53;77;92
bdd3266;cl557;1137017;2011;20110406;Convolvulus lanuginosus;Spain;-0,62437;39,59046;c;n;121;167;92;38;5267;293;57;236;179;235;238;103;419;73;12;43;168;55;78;94
gbif3332;3332;895258221;1986;NA;Convolvulus lanuginosus;Spain;-0,5;39,59;c;n;146;166;90;38;5183;289;58;231;178;233;236;103;441;77;12;44;178;57;83;101
gbif2431;2431;895248402;1993;NA;Convolvulus lanuginosus;Spain;-0,85;39,59;c;n;383;153;98;38;5632;291;38;253;163;227;228;85;416;62;14;35;152;65;80;87
bdd1688;cl1276;1574433;2013;20130618;Convolvulus lanuginosus;Spain;-1,0436;39,58927;c;n;818;129;104;38;6037;282;9;273;138;210;211;57;464;56;19;28;147;86;90;93
bdd3084;cl393;472742;2004;20040425;Convolvulus lanuginosus;Spain;-0,70613;39,58309;c;n;197;163;94;38;5372;293;51;242;175;233;235;98;415;69;12;41;162;57;78;91
bdd1687;cl1275;1574235;2013;20130618;Convolvulus lanuginosus;Spain;-1,04386;39,58026;c;n;902;125;105;38;6056;278;5;273;133;206;206;53;481;56;20;27;150;90;90;97
gbif3031;3031;318107922;1988;NA;Convolvulus lanuginosus;Spain;-0,62;39,58;c;n;97;169;92;39;5241;294;59;235;180;236;239;105;415;73;11;44;168;53;77;93
bdd3246;cl539;1124428;2011;20110406;Convolvulus lanuginosus;Spain;-0,63662;39,57269;c;n;128;167;93;39;5263;293;57;236;179;235;238;103;417;73;11;44;168;54;77;93
bdd3365;cl646;1125674;2011;20110216;Convolvulus lanuginosus;Spain;-0,56683;39,57125;c;n;89;169;91;39;5194;293;60;233;181;236;239;106;423;76;11;45;173;53;78;96
bdd3388;cl667;1125373;2011;20110216;Convolvulus lanuginosus;Spain;-0,5552;39,57101;c;n;91;169;91;39;5202;293;60;233;181;236;239;106;428;76;11;45;175;54;80;98
bdd2951;cl273;442334;2006;20060607;Convolvulus lanuginosus;Spain;-0,90449;39,56882;c;n;763;132;102;38;5919;280;14;266;142;211;212;62;468;59;18;29;154;84;91;94
bdd2995;cl312;448952;2006;20060604;Convolvulus lanuginosus;Spain;-0,83468;39,56754;c;n;450;150;99;38;5658;290;34;256;159;224;226;82;429;63;14;35;155;68;82;90
bdd1613;cl1208;1328123;2011;20110831;Convolvulus lanuginosus;Spain;-1,31198;39,56645;c;n;875;126;110;38;6164;286;3;283;143;209;209;53;459;55;18;28;147;85;86;93
bdd3245;cl538;1124486;2011;20110406;Convolvulus lanuginosus;Spain;-0,63693;39,56369;c;n;123;168;93;39;5237;294;57;237;180;235;238;104;417;73;11;44;168;54;77;93
bdd3364;cl645;1125201;2011;20110216;Convolvulus lanuginosus;Spain;-0,56714;39,56225;c;n;89;169;91;39;5190;293;60;233;181;236;239;106;424;76;11;45;173;53;78;97
bdd3387;cl666;755353;2010;20100421;Convolvulus lanuginosus;Spain;-0,55551;39,562;c;n;101;169;91;39;5205;293;60;233;181;236;239;106;431;77;11;45;176;54;80;99
bdd2932;cl256;485540;2003;20030625;Convolvulus lanuginosus;Spain;-0,97456;39,56106;c;n;552;144;102;38;5815;289;26;263;153;221;222;75;427;58;15;32;147;71;81;88
bdd3510;cl777;799054;2010;20100330;Convolvulus lanuginosus;Spain;-0,4741;39,56026;c;n;132;167;90;38;5167;290;59;231;179;234;237;105;447;79;12;44;182;57;84;103
bdd2961;cl282;450118;2006;20060607;Convolvulus lanuginosus;Spain;-0,89312;39,55961;c;n;730;135;102;38;5915;282;17;265;143;213;214;64;465;60;18;30;155;82;90;94
bdd2976;cl296;446859;2006;20060604;Convolvulus lanuginosus;Spain;-0,84659;39,55876;c;n;597;142;100;38;5783;285;25;260;152;219;220;73;447;61;16;32;155;75;87;92
bdd2994;cl311;450474;2006;20060604;Convolvulus lanuginosus;Spain;-0,83496;39,55854;c;n;522;146;99;38;5707;287;30;257;156;221;222;77;438;62;15;33;155;71;84;91
bdd3000;cl317;444213;2006;20060604;Convolvulus lanuginosus;Spain;-0,82333;39,55832;c;n;481;148;99;38;5680;287;33;254;158;223;225;80;435;63;15;34;156;69;83;91
bdd3004;cl320;444214;2006;20060604;Convolvulus lanuginosus;Spain;-0,8117;39,5581;c;n;457;150;99;38;5658;288;34;254;160;224;225;81;433;64;14;34;157;68;82;91
bdd3013;cl329;438157;2001;20011202;Convolvulus lanuginosus;Spain;-0,80007;39,55788;c;n;424;151;98;38;5626;290;36;254;162;225;227;84;430;64;14;35;157;67;82;91
bdd3223;cl518;871190;2007;20070401;Convolvulus lanuginosus;Spain;-0,64886;39,55492;c;n;153;166;93;38;5299;294;55;239;177;235;237;102;422;72;12;41;167;56;79;95
bdd3363;cl644;771662;2010;20100421;Convolvulus lanuginosus;Spain;-0,56746;39,55325;c;n;80;170;92;39;5201;294;61;233;182;237;240;107;424;76;11;45;173;53;78;97
bdd2928;cl252;485538;2003;20030625;Convolvulus lanuginosus;Spain;-0,99808;39,55246;c;n;608;141;103;38;5860;288;23;265;150;219;220;71;434;58;16;31;147;75;83;88
bdd2930;cl254;481418;2003;20030625;Convolvulus lanuginosus;Spain;-0,98645;39,55225;c;n;590;142;103;39;5805;288;24;264;151;219;220;73;432;58;15;31;147;73;82;88
bdd2931;cl255;485539;2003;20030625;Convolvulus lanuginosus;Spain;-0,97482;39,55205;c;n;616;141;102;38;5833;287;23;264;150;218;219;71;435;58;16;31;147;75;83;88
bdd3499;cl767;815693;2010;20100330;Convolvulus lanuginosus;Spain;-0,48606;39,55151;c;n;100;169;90;39;5130;291;61;230;181;235;238;107;442;80;12;46;182;55;82;103
bdd3509;cl776;950707;2010;20100330;Convolvulus lanuginosus;Spain;-0,47443;39,55126;c;n;118;168;90;39;5115;289;60;229;180;233;237;106;445;80;12;45;183;55;83;103
bdd2866;cl2336;999039;NA;NA;Convolvulus lanuginosus;Spain;-2,6741;39,55122;c;n;802;132;122;38;6601;317;0;317;116;220;221;53;449;52;11;33;149;58;61;116
gbif1610;1610;895220705;2011;NA;Convolvulus lanuginosus;Spain;-0,655;39,551;c;n;166;165;94;39;5337;293;53;240;177;234;237;101;422;72;12;41;167;57;79;94
bdd1880;cl1449;919701;2009;20090609;Convolvulus lanuginosus;Spain;-0,61898;39,551;c;n;119;168;93;39;5245;294;58;236;180;235;238;104;420;74;11;43;170;53;77;95
bdd2950;cl272;463591;2006;20060607;Convolvulus lanuginosus;Spain;-0,90503;39,55082;c;n;801;131;102;38;5962;280;12;268;139;210;211;60;476;60;19;29;156;85;92;97
bdd1614;cl1209;629030;2009;20090616;Convolvulus lanuginosus;Spain;-0,8934;39,5506;c;n;763;133;102;38;5875;280;15;265;142;211;212;63;470;60;18;29;156;83;91;96
bdd1882;cl1450;919692;2009;20090609;Convolvulus lanuginosus;Spain;-0,61884;39,55049;c;n;119;168;93;39;5245;294;58;236;180;235;238;104;420;74;11;43;170;53;77;95
bdd1879;cl1448;919691;2009;20090609;Convolvulus lanuginosus;Spain;-0,62142;39,55047;c;n;119;168;93;39;5245;294;58;236;180;235;238;104;420;74;11;43;170;53;77;95
bdd1897;cl1464;919704;2009;20090612;Convolvulus lanuginosus;Spain;-0,60071;39,55033;c;n;112;168;92;39;5242;294;59;235;180;236;239;105;422;74;11;44;171;53;78;96
bdd1898;cl1465;919715;2009;20090612;Convolvulus lanuginosus;Spain;-0,60005;39,54971;c;n;184;165;93;39;5272;292;54;238;176;233;236;101;431;74;12;43;172;57;80;97
bdd2993;cl310;444212;2006;20060604;Convolvulus lanuginosus;Spain;-0,83524;39,54954;c;n;846;129;101;37;5913;277;11;266;137;207;208;58;491;61;19;29;161;87;95;101
bdd2999;cl316;439809;2006;20060604;Convolvulus lanuginosus;Spain;-0,82361;39,54932;c;n;609;141;100;38;5754;284;25;259;151;217;219;73;454;62;16;32;157;75;87;95
bdd3002;cl319;441888;2006;20060604;Convolvulus lanuginosus;Spain;-0,81198;39,5491;c;n;532;146;99;38;5710;286;30;256;155;220;222;77;444;63;15;33;158;71;85;93
bdd3012;cl328;449640;2006;20060604;Convolvulus lanuginosus;Spain;-0,80035;39,54888;c;n;518;146;99;38;5699;287;31;256;156;221;223;78;443;63;15;34;158;71;85;93
bdd3024;cl339;437941;2001;20011202;Convolvulus lanuginosus;Spain;-0,78872;39,54866;c;n;438;151;98;38;5632;289;36;253;161;224;226;83;434;65;14;35;158;67;82;92
bdd1867;cl1437;774405;2010;20100603;Convolvulus lanuginosus;Spain;-0,50901;39,54814;c;n;97;169;90;39;5126;291;61;230;182;235;238;107;437;79;11;46;180;54;81;101
gbif1422;1422;895219803;2000;NA;Convolvulus lanuginosus;Spain;-0,515;39,548;c;n;97;169;90;39;5126;291;61;230;182;235;238;107;437;79;11;46;180;54;81;101
bdd1865;cl1435;774339;2010;20100603;Convolvulus lanuginosus;Spain;-0,51014;39,54746;c;n;97;169;90;39;5126;291;61;230;182;235;238;107;437;79;11;46;180;54;81;101
bdd3209;cl505;871172;2007;20070401;Convolvulus lanuginosus;Spain;-0,6608;39,54615;c;n;193;164;94;39;5340;293;53;240;175;233;236;99;423;72;12;41;167;57;79;94
bdd3222;cl517;814142;1999;19990124;Convolvulus lanuginosus;Spain;-0,64917;39,54592;c;n;165;166;93;39;5305;293;55;238;177;234;237;102;423;72;12;42;168;56;79;95
bdd1883;cl1451;919691;2009;20090609;Convolvulus lanuginosus;Spain;-0,62591;39,54545;c;n;219;163;94;39;5330;291;52;239;175;232;234;98;432;73;12;41;170;58;80;97
bdd1899;cl1466;919704;2009;20090612;Convolvulus lanuginosus;Spain;-0,60265;39,54497;c;n;184;165;93;39;5272;292;54;238;176;233;236;101;431;74;12;43;172;57;80;97
bdd3624;cl88;736578;2003;20030604;Convolvulus lanuginosus;Spain;-0,56777;39,54424;c;n;101;169;92;39;5185;293;60;233;181;236;239;106;427;76;11;45;174;54;79;98
bdd2392;cl191;692911;2010;20100618;Convolvulus lanuginosus;Spain;-1,45043;39,54414;c;n;731;134;112;39;6188;296;9;287;151;217;217;60;423;50;15;30;136;75;75;86
bdd3647;cl90;736587;2003;20030604;Convolvulus lanuginosus;Spain;-0,55614;39,544;c;n;75;171;91;39;5173;294;62;232;182;237;240;108;426;77;11;46;175;52;78;98
bdd3669;cl92;937796;2005;20050602;Convolvulus lanuginosus;Spain;-0,54452;39,54375;c;n;76;171;91;39;5155;292;62;230;183;237;240;108;429;78;11;46;177;52;79;99
bdd3498;cl766;924107;2010;20100330;Convolvulus lanuginosus;Spain;-0,48638;39,54251;c;n;123;168;90;39;5140;290;60;230;180;233;237;105;444;79;12;44;181;55;82;103
bdd2877;cl2346;1000646;NA;NA;Convolvulus lanuginosus;Spain;-1,5104;39,54213;c;n;639;139;113;39;6176;301;13;288;157;222;222;65;404;48;14;31;129;70;70;83
bdd1678;cl1267;293687;2007;20070905;Convolvulus lanuginosus;Spain;-0,91693;39,54202;c;n;1034;118;104;38;6066;272;0;272;127;200;200;47;518;60;22;27;161;98;101;105
bdd3521;cl787;913452;2010;20100330;Convolvulus lanuginosus;Spain;-0,46313;39,54201;c;n;103;169;89;38;5130;291;62;229;181;235;238;107;446;81;12;45;184;55;83;104
bdd2403;cl192;692911;2010;20100618;Convolvulus lanuginosus;Spain;-1,45223;39,54137;c;n;818;129;112;38;6213;292;4;288;147;212;213;55;443;53;16;30;143;78;80;91
bdd1874;cl1443;919717;2009;20090614;Convolvulus lanuginosus;Spain;-0,64058;39,54117;c;n;171;166;94;39;5308;293;55;238;177;234;237;101;427;73;12;42;169;57;79;96
bdd3563;cl824;722934;2002;20021215;Convolvulus lanuginosus;Spain;-0,41662;39,54098;c;n;46;172;88;39;5010;290;66;224;185;236;239;111;443;83;11;49;186;53;83;106
bdd1873;cl1442;919656;2009;20090414;Convolvulus lanuginosus;Spain;-0,63786;39,54065;c;n;171;166;94;39;5308;293;55;238;177;234;237;101;427;73;12;42;169;57;79;96
gbif1077;1077;617249354;NA;1991-12-31T23:00:00.000+0000;Convolvulus lanuginosus;Spain;-0,43;39,54;c;n;75;171;89;39;5073;290;64;226;183;235;239;109;445;82;11;47;186;53;83;105
gbif12811;12811;617249290;NA;1992-12-31T23:00:00.000+0000;Convolvulus lanuginosus;Spain;-0,55;39,54;c;n;113;168;91;39;5186;292;60;232;180;235;238;105;434;77;11;44;177;54;80;99
gbif676;676;616899963;NA;NA;Convolvulus lanuginosus;Spain;-0,67;39,54;c;n;211;163;95;39;5363;293;51;242;174;233;235;98;424;71;12;41;166;57;79;94
bdd3011;cl327;1406123;2001;20011202;Convolvulus lanuginosus;Spain;-0,80064;39,53988;c;n;562;144;99;38;5719;285;28;257;154;219;221;76;450;63;16;32;158;73;86;95
bdd3023;cl338;720679;2001;20011202;Convolvulus lanuginosus;Spain;-0,78901;39,53966;c;n;470;149;98;38;5637;288;34;254;159;223;224;81;439;64;15;34;159;69;84;93
bdd1877;cl1446;919673;2009;20090424;Convolvulus lanuginosus;Spain;-0,62432;39,5391;c;n;186;165;93;39;5317;292;54;238;177;233;236;100;430;73;12;42;171;57;80;97
bdd1893;cl1460;919702;2009;20090610;Convolvulus lanuginosus;Spain;-0,60739;39,53745;c;n;187;165;93;39;5283;292;54;238;177;233;236;101;432;74;12;42;172;57;80;98
bdd1875;cl1444;919656;2009;20090414;Convolvulus lanuginosus;Spain;-0,64947;39,53692;c;n;164;166;93;39;5280;293;55;238;178;234;237;102;424;73;12;42;169;56;79;95
bdd1887;cl1455;919674;2009;20090429;Convolvulus lanuginosus;Spain;-0,60917;39,53527;c;n;214;163;93;38;5318;291;52;239;175;232;235;99;432;73;12;41;171;57;80;97
bdd3362;cl643;755352;2003;20030330;Convolvulus lanuginosus;Spain;-0,56809;39,53524;c;n;131;167;92;39;5223;293;58;235;179;235;238;104;434;76;12;43;175;56;81;99
bdd3385;cl664;755498;2003;20030330;Convolvulus lanuginosus;Spain;-0,55646;39,535;c;n;113;168;91;39;5186;292;60;232;180;235;238;105;434;77;11;44;177;54;80;99
bdd1869;cl1439;1053439;2011;20110416;Convolvulus lanuginosus;Spain;-0,54483;39,53475;c;n;98;169;91;39;5179;293;61;232;181;236;239;107;433;78;11;45;178;54;80;99
bdd3691;cl94;736533;2003;20030323;Convolvulus lanuginosus;Spain;-0,53321;39,53451;c;n;66;171;91;39;5138;293;63;230;184;237;240;109;433;79;11;46;179;52;79;101
bdd1886;cl1454;919660;2009;20090420;Convolvulus lanuginosus;Spain;-0,60359;39,53422;c;n;187;165;93;39;5283;292;54;238;177;233;236;101;432;74;12;42;172;57;80;98
bdd1895;cl1462;919668;2009;20090420;Convolvulus lanuginosus;Spain;-0,60089;39,53363;c;n;187;165;93;39;5283;292;54;238;177;233;236;101;432;74;12;42;172;57;80;98
bdd3497;cl765;830476;2010;20100330;Convolvulus lanuginosus;Spain;-0,48671;39,53351;c;n;112;169;90;39;5152;291;61;230;181;235;238;106;446;80;12;45;182;55;82;104
bdd3520;cl786;862340;2010;20100312;Convolvulus lanuginosus;Spain;-0,46346;39,533;c;n;95;169;89;39;5077;290;62;228;182;235;238;108;447;81;11;46;185;54;82;105
bdd2949;cl271;1406098;2006;20060607;Convolvulus lanuginosus;Spain;-0,90557;39,53281;c;n;887;126;103;38;5961;276;8;268;136;206;207;56;493;60;20;28;158;90;96;101
bdd2893;cl2360;2248699;NA;NA;Convolvulus lanuginosus;Spain;-0,45183;39,53275;c;n;110;169;90;39;5120;290;62;228;181;234;238;107;450;81;12;46;185;55;83;106
bdd1888;cl1456;919686;2009;20090429;Convolvulus lanuginosus;Spain;-0,60871;39,53254;c;n;222;163;93;38;5337;291;52;239;175;232;235;98;437;73;12;41;171;59;81;99
bdd2975;cl295;1406105;2003;20030216;Convolvulus lanuginosus;Spain;-0,84743;39,53174;c;n;802;131;102;38;5909;279;13;266;141;210;211;61;484;61;19;29;159;86;94;99
gbif467;467;997544553;1975;NA;Convolvulus lanuginosus;Spain;-1,51;39,53;c;n;704;136;113;38;6205;299;9;290;154;219;219;61;416;50;14;31;134;72;73;86
bdd3735;cl98;1043872;2011;20110425;Convolvulus lanuginosus;Spain;-0,50863;39,52854;c;n;80;170;91;39;5135;292;61;231;183;236;239;108;437;80;11;46;181;53;80;101
bdd1889;cl1457;919660;2009;20090420;Convolvulus lanuginosus;Spain;-0,6149;39,5272;c;n;222;163;93;38;5337;291;52;239;175;232;235;98;437;73;12;41;171;59;81;99
bdd1896;cl1463;919668;2009;20090420;Convolvulus lanuginosus;Spain;-0,60327;39,52696;c;n;205;164;93;39;5281;291;53;238;176;232;235;100;436;74;12;42;172;57;80;99
bdd3317;cl602;1109335;2011;20110603;Convolvulus lanuginosus;Spain;-0,59165;39,52672;c;n;157;166;93;39;5258;292;55;237;178;234;237;102;433;75;12;42;173;56;80;99
bdd3339;cl622;847055;2003;20030330;Convolvulus lanuginosus;Spain;-0,58002;39,52648;c;n;221;163;93;39;5281;291;53;238;174;231;235;100;442;75;12;42;175;59;82;100
bdd3361;cl642;847827;2003;20030330;Convolvulus lanuginosus;Spain;-0,5684;39,52624;c;n;148;167;92;39;5259;292;57;235;179;235;238;103;435;76;12;43;176;56;81;99
bdd3384;cl663;755497;2003;20030330;Convolvulus lanuginosus;Spain;-0,55678;39,526;c;n;121;168;92;39;5193;292;59;233;180;235;238;105;436;77;12;44;177;55;81;100
bdd3496;cl764;830474;2010;20100330;Convolvulus lanuginosus;Spain;-0,48703;39,52451;c;n;104;169;90;39;5141;291;61;230;182;235;239;107;446;80;12;45;183;55;82;104
bdd2991;cl309;1406114;1980;19800425;Convolvulus lanuginosus;Spain;-0,83608;39,52252;c;n;904;126;102;38;5926;275;8;267;134;205;206;56;507;62;20;28;164;91;98;105
bdd3010;cl326;1406122;2006;20060604;Convolvulus lanuginosus;Spain;-0,8012;39,52187;c;n;725;135;101;38;5828;281;18;263;145;212;214;66;476;63;18;30;161;82;92;99
gbif2481;2481;895200370;1993;NA;Convolvulus lanuginosus;Spain;-2,13;39,52;c;n;858;128;122;39;6487;308;-4;312;111;214;216;50;458;55;14;30;152;68;74;108
gbif1721;1721;895172625;1997;NA;Convolvulus lanuginosus;Spain;-2,24;39,52;c;n;829;130;123;39;6508;311;-3;314;113;217;218;52;451;54;13;30;150;65;70;109
gbif1471;1471;895145711;1999;NA;Convolvulus lanuginosus;Spain;-0,493;39,52;c;n;77;170;90;39;5129;292;63;229;183;236;240;108;443;81;11;47;183;53;81;104
gbif191;191;895144151;1996;NA;Convolvulus lanuginosus;Spain;-1,505;39,52;c;n;571;143;112;39;6139;303;17;286;161;225;225;69;392;48;13;32;125;67;67;81
bdd3316;cl601;1142308;2011;20110603;Convolvulus lanuginosus;Spain;-0,59196;39,51772;c;n;156;166;93;39;5245;292;55;237;178;234;236;102;433;75;12;42;173;56;80;99
bdd3383;cl662;836794;2009;20090920;Convolvulus lanuginosus;Spain;-0,55709;39,51699;c;n;145;167;92;39;5199;291;58;233;179;234;237;104;439;77;12;44;177;56;81;101
bdd3405;cl682;876776;2009;20090920;Convolvulus lanuginosus;Spain;-0,54547;39,51675;c;n;128;168;91;39;5183;292;59;233;180;235;238;106;438;78;12;44;178;55;81;101
bdd3464;cl735;897721;2002;20021211;Convolvulus lanuginosus;Spain;-0,5106;39,51601;c;n;91;170;91;39;5127;292;62;230;183;235;239;108;442;80;11;46;181;53;80;104
bdd1404;cl102;933658;2005;20050330;Convolvulus lanuginosus;Spain;-0,48736;39,51551;c;n;51;172;90;39;5076;292;65;227;185;237;240;110;440;81;11;47;183;53;81;103
bdd1437;cl105;930907;2005;20050615;Convolvulus lanuginosus;Spain;-0,47573;39,51525;c;n;67;171;90;39;5081;291;64;227;184;236;239;109;445;82;11;47;185;53;81;105
gbif3311;3311;895263155;1986;NA;Convolvulus lanuginosus;Spain;-0,96;39,51;c;n;936;124;104;38;6018;277;4;273;133;205;205;53;498;59;20;28;157;92;96;102
gbif2440;2440;862171047;NA;NA;Convolvulus lanuginosus;Spain;-1,19711;39,50999;c;n;755;133;108;38;6068;288;11;277;142;214;214;60;443;54;17;30;140;80;83;89
gbif1494;1494;862178360;NA;NA;Convolvulus lanuginosus;Spain;-1,08086;39,50813;c;n;759;133;106;38;6019;286;13;273;142;213;214;61;451;56;17;30;146;80;85;91
bdd3382;cl661;836946;2009;20090920;Convolvulus lanuginosus;Spain;-0,55741;39,50799;c;n;143;167;92;39;5209;291;58;233;179;234;237;104;440;77;12;44;177;56;81;102
bdd3404;cl681;836954;2009;20090920;Convolvulus lanuginosus;Spain;-0,54578;39,50775;c;n;153;167;92;39;5220;292;57;235;179;234;237;103;442;78;12;44;179;56;81;102
bdd2929;cl253;722940;2002;20020609;Convolvulus lanuginosus;Spain;-0,98775;39,50723;c;n;1049;118;105;38;6069;273;-1;274;133;199;200;46;520;60;22;26;160;98;100;106
bdd3463;cl734;897719;2008;20080420;Convolvulus lanuginosus;Spain;-0,51092;39,507;c;n;82;170;91;39;5124;292;62;230;183;236;239;108;442;80;11;46;181;53;80;104
bdd1382;cl100;733754;2002;20020318;Convolvulus lanuginosus;Spain;-0,4993;39,50675;c;n;71;171;90;39;5114;292;63;229;184;236;240;109;442;81;11;47;183;53;81;104
bdd1393;cl101;734576;2002;20020627;Convolvulus lanuginosus;Spain;-0,48768;39,5065;c;n;66;171;90;39;5127;293;64;229;184;237;241;109;444;81;11;46;184;53;81;105
bdd3243;cl536;1406208;2011;20111130;Convolvulus lanuginosus;Spain;-0,63907;39,50067;c;n;159;166;94;39;5287;294;55;239;178;234;237;102;425;74;11;43;170;55;78;96
bdd3265;cl556;1131244;2011;20110123;Convolvulus lanuginosus;Spain;-0,62744;39,50043;c;n;157;166;94;39;5299;294;56;238;179;235;238;102;425;74;11;43;170;55;78;96
bdd3277;cl567;1122706;2011;20110123;Convolvulus lanuginosus;Spain;-0,61582;39,50019;c;n;151;167;93;39;5264;294;56;238;179;235;238;103;431;75;11;44;173;55;79;99
gbif2741;2741;895285307;1990;NA;Convolvulus lanuginosus;Spain;-0,62;39,5;c;n;147;167;93;39;5297;294;56;238;179;236;238;103;430;75;11;44;173;55;79;98
bdd3294;cl582;1110680;2011;20110123;Convolvulus lanuginosus;Spain;-0,6042;39,49996;c;n;133;168;93;39;5231;293;58;235;180;235;238;104;430;75;11;44;173;54;79;99
bdd3312;cl599;879815;1999;19990124;Convolvulus lanuginosus;Spain;-0,59258;39,49972;c;n;142;167;93;39;5218;293;57;236;179;234;237;104;432;76;11;43;174;55;79;99
