site;type_bio;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y
Arbuste fleur blanche fl épis (Lamiaceae)Sariette?;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;1,5;0,25;0;0;0
Carex sp;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0
Cistus ladanifer L. subsp. ladanifer;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;21,83333333;13;0;0;0
Dorycnium sp (penta)aceae;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0
Euphorbia cf nicaensis;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0
Euphorbia cf serrata;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0
Fabacea cf Astragalus;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0
Genista scorpius (L.) DC.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Graminée épis ind Hc (bulb à base) Alope ? Fll fétuque;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1,833333333;0,833333333;0;0;0
Phlomis cf lychnitis;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0
Stipa sp (hoffneri);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,75;15,41666667;29,91666667;0;0;0
Teucrium 2 (poivré);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0
Thymus sp;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,833333333;0;1;0;0,833333333;0
Amnophila arenaria;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8,5;5,833333333
Dactylis glomerata subsp. hispanica (Roth) Nyman;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0,333333333
Fabaceae Coronilla juncea?;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,166666667;0;0
Helianthemum flle grisatre gros arbuste;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,916666667;0,833333333;0,5
Lamiaceae épis;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5
Melica sp;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;1;0,5
Phagnalon sp.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0
Sporobolus;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0
Teucrium saucisson ou poivre;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
