id_releve	orga_fournisseur	programmes	date_releve_deb	date_releve_fin	releve_type	observateurs	insee	lieudit	comm_loc	comm_milieu	lithologie	geologie	exposition	pente	rec_total	refbiblio	page	code_perso	id_precision	x_l93	y_l93
272959	Conservatoire botanique national méditerranéen de Porquerolles		1814-01-01	1888-12-31	Bibliographie	HUET Augustin Louis	13028									HUET E., 1889. Catalogue des plantes de Provence. Résultat des herborisations faites pendant plus de dix années dans les départements des Bouches-du-Rhône, du Var et des Alpes-Maritimes par MM. R. Shuttleworth, A. Huet et Jacquin, Hanry. Complété par les recherches de MM. Thuret, Canut, H. Roux, Blaize, Autheman, Albert, Goaty, Consolat, etc. dans les mêmes départements. Pamiers: imprimerie typographique de J. Galy. 166 p.	100		C	912100	6234200
311058	Conservatoire botanique national méditerranéen de Porquerolles		1952-01-01	1952-01-01	Bibliographie	MOLINIER René Hervé André	83112	LA MADRAGUE								MOLINIER RE., 1952. Additions à la flore du Var. Ann. Soc. sci. nat. Toulon & Var, 4 : 10-28	16		T	919635	6233398
5173	Association des Ecologistes de l'Euzière		2001-01-01	2001-12-31	Relevé de terrain	SALASSE Jean-Paul	11170	PECH ROUGE	Garrigues de Pech rouge, Centre d'accueil INRA [Donnée originale surfacique synthétisée en point]									0023PG	P	709496	6227156
8011464	Bureau d'études BIOTOPE		2007-06-29	2007-06-29	Relevé de terrain	BOUCHET Michel-Ange	66190												P	694438	6196236
12246866	Parc national des Calanques		2021-06-10	2021-06-10	Relevé de terrain	URVOY GAËLLE	13022	BOIS DE MENTAURE											P	910473	6238673
8703109	Conservatoire d'espaces naturels du Languedoc-Roussillon		2020-05-07	2020-05-07	Relevé de terrain	NICOLAS Sylvain	66071												P	676793	6185038
1171830	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2015-11-08	2015-11-08	Relevé de terrain	MICHAUD Henri / MORVANT Yves	83027	LE PIN		chemins		Roches sédimentaires carbonatées : grès						098Y	P	918230	6236782
293384	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2011-12-18	2011-12-18	Relevé de terrain	MICHAUD Henri / MORVANT Yves	13028	PLAINES BARONNES	TERRASSES	TERRASSES								281Y	P	916420	6237167
8015362	Agence MTDA		2015-05-19	2015-05-19	Relevé de terrain	MALLOL Sébastien	83027											0348MTDA15	P	920502	6239580
1400764	Bureau d'études ECO-MED (Ecologie et Médiation)		2011-08-19	2011-08-19	Relevé de terrain	VOLANT Jérôme	13023												P	915311	6238898
8611973	Réseau des botanistes amateurs du CBNMed		2013-05-02	2013-05-02	Relevé de terrain	LEWIN Jean-Marc	66069	Coma de l'Infern	Débouché du Correc dans les cultures.	Garrigue, rochers, friches, cultures.								604	T	683731	6189840
273703	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2006-06-09	2006-06-09	Relevé de terrain	ABOUCAYA Annie	13028	LE MENTAURE	Petit col à l'Est de la décharge, au Sud de la citerne DFCI.									G3.20	P	910811	6238740
8705267	Conservatoire d'espaces naturels du Languedoc-Roussillon		2016-04-27	2016-04-27	Relevé de terrain	BOUTELOUP Romain	66069												P	684691	6190483
658059	Bureau d'études ECOSPHERE		2013-05-28	2013-05-28	Relevé de terrain	CROUZET Nicolas	83035												P	927490	6241837
